	GITTstep	OCV [V]	Q [mAh]	I_pol [mA]	t_pol [s]	OCV_slope_final [V/s]	Q_corr [mAh]	t_tot_cum [h]	dU/dt_sd [V/s]	dU/dt_relax [V/s]	I_sd [mA]	U_err, instrument [V]	U_err,sd pos [V]	U_err,relax negative [V]	I_err, instrument [mA]	Q_err, instrument sym [mAh]	Q0_err,instr cumulative shared sym [mAh]	Q_err,sd cumulative shared neg [mAh]	dV pos [V]	dV neg [V]	q [mAh/g]	dq_mass [mAh/g]	q_err_pos tot [mAh/g]	q_err_neg tot [mAh/g]	q_err_pos incl sd [mAh/g]	q_err_neg incl sd [mAh/g]	q_err_pos from instr [mAh/g]	q_err_neg from instr [mAh/g]
12	12.0	3.6672504	0.227461853684924	0.052447075347479	1200.0001251697	-8.40305615924205e-08	0.343689423684924	30.333333785335	0.0	-8.40305615924205e-08	0.0	0.00066672504	0.0	0.0009075300651981	0.0001762235376737	5.87411853517595e-05	0.0072636326670854	0.011	0.00066672504	0.0015742551051981	65.46465213046172	1.1222511793793437	2.5058002588241814	4.601038354062277	1.383549079444838	3.478787174682933	1.383549079444838	1.383549079444838
13	13.0	3.6775355	0.24495943504841	0.0524471434513937	1200.00012516981	-6.92750202881061e-08	0.36118700504841	32.6666671534377	-2.17696662583533e-10	-6.90573236255226e-08	-1.38131008560258e-06	0.00066775355	1.56741597060144e-06	0.0007458190951556	0.0001762235717256	5.87411967024188e-05	0.0073223738637878	0.0110451227968021	0.0006693209659706	0.0014135726451556	68.79752477112571	1.1793861389335836	2.5741240177503073	4.677956931426897	1.3947378788167237	3.498570792493314	1.3947378788167237	1.3947378788167237
14	14.0	3.6871505	0.262456961497168	0.0524469727878543	1200.0001251697	-6.7350987625512e-08	0.378684531497168	35.0000005215404	-1.12645739047553e-09	-6.62245302350365e-08	-7.59312529089022e-06	0.00066871505	8.11049321142382e-06	0.0007152249265383	0.0001762234863939	5.87411682584869e-05	0.0073811150320463	0.0112657593891413	0.0006768255432114	0.0013839399765383	72.13038695184153	1.2365209191744262	2.64244759194515	4.788306523210159	1.4059266727707238	3.551785604035733	1.4059266727707238	1.4059266727707238
15	15.0	3.6962533	0.279954567380003	0.0524474784209215	1200.0001251697	-9.07038613463473e-08	0.396182137380003	37.3333338896431	-2.3146009761359e-09	-8.83892603702114e-08	-1.634798653546e-05	0.00066962533	1.66651270281785e-05	0.0009546040119982	0.0001762237392104	5.87412525306735e-05	0.0074398562845769	0.0116103248397517	0.0006862904570281	0.0016242293419982	75.46326426285772	1.2936559587918468	2.710771441568399	4.92226188723539	1.4171154827765524	3.6286059284435432	1.4171154827765524	1.4171154827765524
16	16.0	3.7050016	0.297452130732271	0.052447083246879	1200.0001251697	-5.75731170851542e-08	0.413679700732271	39.6666672577458	-4.1252313261478705e-09	-5.34478857590063e-08	-3.07361943649878e-05	0.00067050016	2.97016655482647e-05	0.0005772371661972	0.0001762235416234	5.87411866683263e-05	0.0074985974712453	0.0122192023946454	0.0007002018255482	0.0012477373261972	78.79613347281352	1.3507908595339462	2.779095139771146	5.106562262560746	1.4283042802372	3.7557714030267997	1.4283042802372	1.4283042802372
17	17.0	3.7131979	0.314949788747291	0.0524475508316049	1200.00012516981	-7.31294767130895e-08	0.431177358747291	42.0000006258485	-6.5092528093584105e-09	-6.66202239037311e-08	-5.0269575374018e-05	0.00067131979	4.68666202273806e-05	0.0007194984181602	0.0001762237754158	5.87412645991277e-05	0.0075573387358444	0.0131113221971699	0.0007181864102273	0.0013908182081603	82.12902071376972	1.4079260693789095	2.8474191619207	5.344813866143538	1.4394930925417904	3.936887796764628	1.4394930925417904	1.4394930925417904
18	18.0	3.7213156	0.332447602610808	0.0524480147679255	1200.0001251697	-8.86448749276492e-08	0.448675172610808	44.3333339939512	-9.27169093408431e-09	-7.93731839935649e-08	-7.42387800996068e-05	0.00067213156	6.6756174725407e-05	0.0008572303871305	0.0001762240073839	5.87413419218502e-05	0.0076160800777662	0.0142912526334594	0.0007388877347254	0.0015293619471305	85.4619376401539	1.4650617881169241	2.9157437076914383	5.63788706644561	1.4506819195745142	4.172825278328686	1.4506819195745142	1.4506819195745142
19	19.0	3.7289605	0.3499455665661	0.0524482876798988	1200.00012516975	-6.94834737961744e-08	0.4661731365661	46.6666673620539	-1.19817309552731e-08	-5.75017428409013e-08	-9.8728539647771e-05	0.00067289605	8.62684628779661e-05	0.0006210188226817	0.0001762241438399	5.87413874071867e-05	0.0076748214651734	0.0156073319188839	0.0007591645128779	0.0012939148726817	88.79488315544761	1.5221979969505306	2.9840687522216545	5.956893879628111	1.4618707552711236	4.43469588267758	1.4618707552711236	1.4618707552711236
20	20.0	3.7366052	0.367443470834047	0.0524482000664389	1200.00012516975	-8.08730741418716e-08	0.483671040834047	49.0000007301566	-1.45730215499511e-08	-6.63000525919205e-08	-0.0001213571003956	0.00067366052	0.0001049257551596	0.0007160405679927	0.0001762241000332	5.87413728049419e-05	0.0077335628379784	0.0169464980079983	0.0007785862751596	0.0013897010879927	92.12781730172323	1.579334010886684	3.0523935990730457	6.280297981548912	1.4730595881863617	4.700963970662229	1.4730595881863617	1.4730595881863617
21	21.0	3.7440925	0.384941328141025	0.0524479716005918	1200.00012516975	-6.83253075694543e-08	0.501168898141025	51.3333340982593	-1.65125963336289e-08	-5.18127112358254e-08	-0.0001375097726548	0.00067440925	0.0001188906936021	0.0005595772813469	0.0001762239858002	5.87413347272967e-05	0.0077923041727057	0.0180588351014679	0.0007932999436021	0.0012339865313469	95.46074250305239	1.636469871480898	3.1207182853296027	6.560496399894917	1.4842484138487047	4.924026528414019	1.4842484138487047	1.4842484138487047
22	22.0	3.7517371	0.402439221195194	0.0524481645450958	1200.00012516975	-7.31732124579003e-08	0.518666791195194	53.666667466362	-1.78141845452171e-08	-5.53590279126832e-08	-0.0001475573295069	0.00067517371	0.0001282621287255	0.0005978775014569	0.0001762240822725	5.87413668847174e-05	0.0078510455395904	0.0189189101348737	0.0008034358387255	0.0012730512114569	98.79367451337028	1.6936058488006334	3.1890430944369	6.792645024889033	1.4954372456362663	5.0990391760884	1.4954372456362663	1.4954372456362663
23	23.0	3.7593031	0.419937093319109	0.0524480146271995	1200.00012516975	-9.73029406513213e-08	0.536164663319109	56.0000008344647	-1.85014887100999e-08	-7.88014519412214e-08	-0.0001499811323877	0.00067593031	0.0001332107187127	0.0008510556809651	0.0001762240073136	5.87413418983987e-05	0.0079097868814888	0.0193989435388684	0.0008091410287127	0.0015269859909651	102.12660253697312	1.7507417577766822	3.2573678304412157	6.952404694987577	1.5066260726645333	5.201662937210895	1.5066260726645333	1.5066260726645333
24	24.0	3.7673025	0.437434889197163	0.0524478687085304	1200.00012516975	-7.13015832909317e-08	0.553662459197163	58.3333342025673	-1.85902862444732e-08	-5.27112970464585e-08	-0.0001430367989895	0.00067673025	0.0001338500609602	0.0005692820081017	0.0001762239343542	5.8741317578618e-05	0.0079685281990674	0.0193438133987229	0.0008105803109602	0.0012460122581017	105.45951603755483	1.8078774177866543	3.3256923128471114	7.01022819831814	1.517814895060457	5.202350780531486	1.517814895060457	1.517814895060457
25	25.0	3.775696	0.45493265452464	0.052447778285414	1200.00012516975	-8.25419874134366e-08	0.57116022452464	60.66666757067	-1.8018411416683e-08	-6.45235759967536e-08	-0.0001309289958649	0.0006775696	0.0001297325622001	0.0006968546207649	0.0001762238891427	5.8741302508097e-05	0.0080272695015755	0.0189430258675022	0.0008073021622001	0.0013744242207649	108.79242371897904	1.8650129780396407	3.39401669262545	7.0022120959592025	1.5290037145858095	5.137199117919562	1.5290037145858095	1.5290037145858095
26	26.0	3.7846806	0.472430560362552	0.0524480314839215	1200.00012516975	-9.96886773330684e-08	0.588658130362552	63.0000009387727	-1.69280725381658e-08	-8.27606047949026e-08	-0.0001139005893763	0.00067846806	0.0001218821222747	0.0008938145317849	0.0001762240157419	5.87413447078527e-05	0.0080860108462833	0.0181757372376357	0.0008003501822747	0.0015722825917849	112.1253581642956	1.9221489971022105	3.46234153925141	6.924386727372496	1.5401925421491998	5.002237730270285	1.5401925421491998	1.5401925421491998
27	27.0	3.7944927	0.489928298104354	0.052447703008514	1200.00012516952	-8.63393309307951e-08	0.606155868104354	65.3333343068754	-1.57504093300417e-08	-7.05889216007535e-08	-9.64232042828754e-05	0.00067944927	0.0001134029471763	0.0007623603532881	0.0001762238515042	5.87412899619343e-05	0.0081447521362453	0.0172996494403532	0.0007928522171763	0.0014418096232881	115.4582605913055	1.9792844672795231	3.5306658265643422	6.82583714853638	1.551381359284819	4.846552681256856	1.551381359284819	1.551381359284819
28	28.0	3.8053689	0.507426235484446	0.0524483008543193	1200.00012516975	-8.13480970064763e-08	0.623653805484446	67.6666676749781	-1.52697407444807e-08	-6.60783562619956e-08	-8.43275512789877e-05	0.00068053689	0.0001099421333602	0.0007136462476295	0.0001762241504271	5.87413896029237e-05	0.0082034935258482	0.0167061643882399	0.0007904790233602	0.0013941831376295	118.79120104465638	2.0364205893369665	3.5989907847366234	6.781117334877556	1.562570195399657	4.7446967455405895	1.562570195399657	1.562570195399657
29	29.0	3.8174272	0.524924193457363	0.0524482683366135	1200.00012516975	-9.31264987877578e-08	0.641151763457363	70.0000010430808	-1.67580100624712e-08	-7.63684887252866e-08	-8.30912269079756e-05	0.00068174272	0.0001206576724497	0.000824779678233	0.0001762241341683	5.87413841833055e-05	0.0082622349100315	0.0168163859702292	0.0008024003924497	0.0015065223982331	122.12414542045009	2.0935567786362874	3.667315809118478	6.870436946304992	1.5737590304821905	4.776880167668705	1.5737590304821905	1.5737590304821905
