Q [mAh]	U [V]
0.0050399006420167	3.5746216
0.00506759234303401	3.5745822
0.00509528403316521	3.5745822
0.00512297573858665	3.5746609
0.0051506673072651	3.5748185
0.0051783590367602	3.5747396
0.00520605078155796	3.5747396
0.00523374243007352	3.5748185
0.00526143398556444	3.5748185
0.00528912576432443	3.5749365
0.00531681749270194	3.5748972
0.00534450920797884	3.5748972
0.00537220086086541	3.5750548
0.00539989249844932	3.5749365
0.005427584198407	3.5750154
0.00545527581192553	3.5750941
0.00548296741561343	3.5750548
0.00551065920091751	3.575173
0.00553835094682872	3.5752517
0.00556604271904462	3.5752124
0.00559373451091763	3.5752517
0.00562142632793635	3.5752517
0.00564911808480819	3.575291
0.00567680979350789	3.575291
0.00570450164443503	3.5753699
0.0057321934855481	3.5754093
0.0057598853255353	3.5754093
