GITTstep	OCV [V]	q [mAh/g]	Q [mAh]	I_pol [mA]	t_pol [s]	OCV_slope_final [V/s]
23	3.7593031	102.126602536973	0.536164663319109	0.0524480146271995	1200.00012516975	-9.73029406513213E-8
24	3.7673025	105.459516037555	0.553662459197163	0.0524478687085304	1200.00012516975	-7.13015832909317E-8
25	3.775696	108.792423718979	0.57116022452464	0.052447778285414	1200.00012516975	-8.25419874134366E-8
26	3.7846806	112.125358164296	0.588658130362552	0.0524480314839215	1200.00012516975	-9.96886773330684E-8
27	3.7944927	115.458260591306	0.606155868104354	0.052447703008514	1200.00012516952	-8.63393309307951E-8
28	3.8053689	118.791201044656	0.623653805484446	0.0524483008543193	1200.00012516975	-8.13480970064763E-8
29	3.8174272	122.12414542045	0.641151763457363	0.0524482683366135	1200.00012516975	-9.31264987877578E-8
30	3.8309436	125.457090266417	0.658649723898687	0.0524482821980275	1200.00012516975	-1.21656115785669E-7
31	3.8455238	128.790018335706	0.676147596262458	0.05244818657881	1200.00012516975	-1.23395275092857E-7
32	3.8612468	132.122960868734	0.693645544560851	0.0524482412509489	1200.00012516975	-1.61337137971809E-7
33	3.8775215	135.45589712125	0.711143459886564	0.0524482271702468	1200.00012516975	-1.22684738656554E-7
34	3.8940327	138.788831036838	0.7286413629434	0.0524481954817281	1200.00012516975	-1.05924844929104E-7
35	3.9103467	142.121759639843	0.746139238109178	0.0524481132739027	1200.00012516975	-1.51414324751973E-7
36	3.9265821	145.454704943717	0.763637200954514	0.0524483726001023	1200.00012516975	-1.4582568820324E-7
37	3.9421475	148.787640754512	0.781135113961186	0.0524482231224241	1200.00012516975	-1.56538040435359E-7
38	3.957319	152.120593086205	0.798633113702576	0.0524484823655926	1200.00012516975	-1.00280999791818E-7
39	3.9715838	155.453530405975	0.816131034631368	0.0524482486554946	1200.00012516975	-1.0395966573078E-7
40	3.985652	158.786467578727	0.833628954788315	0.0524481562760631	1200.00012516975	-8.95929501825541E-8
41	3.9992077	162.11939706122	0.851126834571404	0.0524481285234216	1200.00012516975	-1.46120175949778E-7
42	4.0126843	165.452351977751	0.868624847883192	0.0524484378911915	1200.00012516975	-1.0783529317148E-7
43	4.026989	168.785273139526	0.886122683982509	0.0524479900523072	1200.00012516975	-1.31529374489958E-7
44	4.0420814	172.118196866179	0.903620533547438	0.0524481189984814	1200.00012516975	-1.3572626462668E-7
45	4.0582771	175.451134909151	0.921118458273045	0.052448171411123	1200.00012516975	-1.47286698092029E-7
46	4.0758128	178.784077245536	0.938616405539062	0.0524483260738993	1200.00012516975	-1.77987641364713E-7
47	4.0940976	182.117017273344	0.956114340685054	0.0524482948575972	1200.00012516975	-1.91333758507729E-7
48	4.1129336	185.449970245434	0.973612343788527	0.0524486690551094	1200.00012516975	-1.9196669367747E-7
49	4.1313362	188.78292208203	0.991110340930657	0.0524486529167677	1200.00012516975	-1.57649009029001E-7
50	4.1483989	192.11588096123	1.00860837504646	0.0524487584537577	1200.00012516975	-1.96575450169258E-7
51	4.1632552	195.448867918811	1.02610655657376	0.0524491149051125	1200.00012516975	-1.47067079323208E-7
52	4.173501	198.781853854612	1.04360473273671	0.0524490085217077	1200.00012516975	-8.6785586507929E-8
53	4.1796479	202.114843872621	1.06110293033126	0.0524490708962638	1200.00012516975	-8.05429306811208E-8
54	4.1848497	205.447841466363	1.07860116769841	0.0524491914080873	1200.00012516975	-7.84437386441679E-8
55	4.1905637	208.780836036147	1.09609938918977	0.0524492342293209	1200.00012516975	-1.09209173293802E-7
56	4.1977353	212.113836600699	1.11359764215367	0.0524490655782088	1200.00012516975	-1.00124027036388E-7
57	4.2078233	215.446829580707	1.13109585529871	0.0524491225153809	1200.00012516975	-1.54963304928545E-7
58	4.2229161	218.779834650463	1.14859413191493	0.0524494078554817	1200.00012516975	-2.47189818448596E-7
59	4.2456532	222.112871615655	1.16609257598219	0.052449813654116	1200.00012516975	-3.89981275950748E-7
60	4.2780056	225.445898893537	1.18359096919107	0.0524495744408967	1200.00012516975	-6.11913288978072E-7
61	4.3204856	228.778938218914	1.2010894256493	0.0524497639494618	1200.00012516975	-8.81409077289496E-7
62	4.3718319	232.111965473307	1.21858781873486	0.0524496679826674	1200.00012516975	-1.32060478049232E-6
63	4.428143	235.444999011931	1.23608624481264	0.052449936022257	1200.00012516975	-1.66816903242133E-6
64	4.4666824	237.854130781046	1.24873418660049	0.0524334016790318	867.350090471446	-1.84872278525836E-6
65	4.4720416	238.638912309911	1.25285428962703	0.0523103986816343	282.516029469436	-1.52148144320638E-6
66	4.4744849	239.200269470907	1.25580141472226	0.0522390488414684	202.078021079418	-1.36420010843451E-6
67	4.4757853	239.666717927255	1.25825026911809	0.0521872201605021	167.904017514782	-1.23115097237863E-6
68	4.4768491	240.079422743242	1.26041696940202	0.0521488003090725	148.554015496629	-1.15892975188659E-6
69	4.4775586	240.455348715956	1.26239058075877	0.0521166086111926	135.31401411444	-1.04412387662214E-6
70	4.4781103	240.803901920672	1.26422048508353	0.0520875702616804	125.456013086252	-1.03191198021553E-6
71	4.4787407	241.13119921532	1.26593879588043	0.0520603509900036	117.802012287197	-9.48836211620219E-7
72	4.4790559	241.441354477051	1.26756711100452	0.052037723243184	111.630011643167	-9.36980473524672E-7
73	4.4794106	241.737496238111	1.26912185525008	0.052017330822504	106.586011117441	-8.84423486911886E-7
74	4.4797258	242.020938280766	1.27060992597402	0.0519991154244	102.014010641025	-8.73476566960868E-7
75	4.4798832	242.294831916964	1.27204786756406	0.0519797978933556	98.5760102821514	-8.42707352200607E-7
